,precision,recall,f1-score,support
happy,0.835195530726257,0.8518518518518519,0.843441466854725,351.0
love,0.7375886524822695,0.65,0.6910299003322259,160.0
anger,0.6576576576576577,0.5407407407407407,0.5934959349593496,135.0
fear,0.4790697674418605,0.5786516853932584,0.5241730279898219,178.0
sadness,0.6694915254237288,0.6666666666666666,0.6680761099365751,237.0
accuracy,0.6946277097078228,0.6946277097078228,0.6946277097078228,0.6946277097078228
macro avg,0.6758006267463548,0.6575821889305036,0.6640432880145395,1061.0
weighted avg,0.7011267762449934,0.6946277097078228,0.6959203837661011,1061.0
